cui	drugbank_id
C0025386	DB00371
C0591455	DB00371
C0700705	DB00371
C4256095	DB00371
C0039865	DB00372
C2350040	DB00372
C0040233	DB00373
C2983887	DB00373
C1145760	DB00374
C4256094	DB00374
C0009279	DB00375
C0003830	DB00376
C0041009	DB00376
C2350117	DB00376
C0220578	DB00377
C0013340	DB00378
C4256093	DB00378
C0025887	DB00379
C0086444	DB00380
C0051696	DB00381
C0039245	DB00382
C0069833	DB00383
C0040869	DB00384
C0700653	DB00384
C4256092	DB00384
C0068314	DB00385
C0724176	DB00385
C0033254	DB00387
C0040964	DB00387
C0031469	DB00388
C0006983	DB00389
C0012265	DB00390
C4256089	DB00390
C4256090	DB00390
C0038803	DB00391
C0210380	DB00391
C0015042	DB00392
C0028094	DB00393
C0004906	DB00394
C0007248	DB00395
C0033308	DB00396
C0595048	DB00396
C1451497	DB00396
C1515388	DB00396
C4256086	DB00396
C4256087	DB00396
C0031495	DB00397
C1516119	DB00398
C0257685	DB00399
C0392938	DB00399
C2700334	DB00399
C0018242	DB00400
C0304315	DB00400
C0304316	DB00400
C0591579	DB00400
C0674947	DB00400
C0677654	DB00400
C0700854	DB00400
C4256078	DB00400
C4256079	DB00400
C4256080	DB00400
C4256081	DB00400
C4256082	DB00400
C4256083	DB00400
C4256084	DB00400
C4256085	DB00400
C0028116	DB00401
C0723503	DB00401
C1436328	DB00402
C1956483	DB00402
C0006639	DB00403
C0002333	DB00404
C0699034	DB00404
C0057605	DB00405
C0017440	DB00406
C0301302	DB00406
C3848552	DB00406
C0297269	DB00407
C0024056	DB00408
C0073047	DB00409
C0085259	DB00410
C0733863	DB00410
C1330130	DB00410
C0006945	DB00411
C0600175	DB00411
C0772072	DB00411
C0289313	DB00412
C0074710	DB00413
C0000992	DB00414
C0002680	DB00415
C0724526	DB00415
C0128302	DB00416
C0700566	DB00416
C0889778	DB00416
C0030840	DB00417
C4256073	DB00417
C0036516	DB00418
C0733450	DB00418
C0074118	DB00419
C1174772	DB00419
C1321596	DB00419
C0033399	DB00420
C4256072	DB00420
