cui	hgnc_id	symbol	entrez_id
C1332110	HGNC:681	ARHGEF1	9138
C1332111	HGNC:13209	ARHGEF5	7984
C1332112	HGNC:686	RHOH	399
C1332114	HGNC:15461	MANF	7873
C1332115	HGNC:16876	ARNT2	9915
C1332116	HGNC:700	ARNT	405
C1332117	HGNC:711	ARRB1	408
C1332118	HGNC:17364	DBF4	10926
C1332119	HGNC:784	ATF2	1386
C1332120	HGNC:882	ATR	545
C1332121	HGNC:890	AUH	549
C1332122	HGNC:895	AVPR1A	552
C1332123	HGNC:896	AVPR1B	553
C1332124	HGNC:897	AVPR2	554
C1332125	HGNC:903	AXIN1	8312
C1332126	HGNC:904	AXIN2	8313
C1332127	HGNC:913	AZU1	566
C1332371	HGNC:937	BAG1	573
C1332372	HGNC:940	BAG4	9530
C1332373	HGNC:941	BAG5	9529
C1332374	HGNC:943	ADGRB1	575
C1332375	HGNC:944	ADGRB2	576
C1332376	HGNC:945	ADGRB3	577
C1332378	HGNC:947	BAIAP2	10458
C1332379	HGNC:949	BAK1	578
C1332380	HGNC:950	BAP1	8314
C1332381	HGNC:952	BARD1	580
C1332386	HGNC:973	BCAR3	8412
C1332387	HGNC:974	BCAS1	8537
C1332388	HGNC:975	BCAS2	10286
C1332389	HGNC:14347	BCAS3	54828
C1332390	HGNC:14367	BCAS4	55653
C1332397	HGNC:992	BCL2L1	598
C1332398	HGNC:995	BCL2L2	599
C1332399	HGNC:1001	BCL6	604
C1332400	HGNC:1004	BCL7A	605
C1332402	HGNC:1008	BCL9	607
C1332407	HGNC:1030	BDKRB2	624
C1332408	HGNC:1033	BDNF	627
C1332409	HGNC:13652	BDP1	55814
C1332410	HGNC:1050	BID	637
C1332411	HGNC:1051	BIK	638
C1332412	HGNC:1052	BIN1	274
C1332413	HGNC:7634	NAIP	4671
C1332414	HGNC:590	BIRC2	329
C1332415	HGNC:591	BIRC3	330
C1332416	HGNC:593	BIRC5	332
C1332417	HGNC:13516	BIRC6	57448
C1332418	HGNC:13702	BIRC7	79444
C1332419	HGNC:1057	BLK	640
C1332420	HGNC:14211	BLNK	29760
C1332421	HGNC:1060	CXCR5	643
C1332422	HGNC:20869	BMP10	27302
C1332423	HGNC:1068	BMP15	9210
C1332424	HGNC:1069	BMP2	650
C1332425	HGNC:1070	BMP3	651
C1332426	HGNC:1072	BMP5	653
C1332427	HGNC:1073	BMP6	654
C1332428	HGNC:1074	BMP7	655
C1332430	HGNC:1076	BMPR1A	657
C1332431	HGNC:1078	BMPR2	659
C1332433	HGNC:1079	BMX	660
C1332435	HGNC:1085	BNIP3L	665
C1332436	HGNC:1094	BPHL	670
C1332438	HGNC:18617	BRCA3	60500
C1332447	HGNC:24133	STAP1	26228
C1332448	HGNC:11551	BRF1	2972
C1332449	HGNC:17298	BRF2	55290
C1332450	HGNC:17262	BRMS1	25855
C1332451	HGNC:1113	BRS3	680
C1332452	HGNC:17307	BTAF1	9044
C1332453	HGNC:1121	BTC	685
C1332455	HGNC:1148	BUB1	699
C1332656	HGNC:1318	C3	718
C1332658	HGNC:16805	PRICKLE4	29964
C1332659	HGNC:1442	CALM1	801
C1332660	HGNC:1471	CAMLG	819
C1332661	HGNC:1500	CASP10	843
C1332662	HGNC:1503	CASP2	835
C1332664	HGNC:1506	CASP5	838
C1332665	HGNC:1507	CASP6	839
C1332666	HGNC:1508	CASP7	840
C1332667	HGNC:1509	CASP8	841
C1332668	HGNC:1511	CASP9	842
C1332669	HGNC:1527	CAV1	857
C1332670	HGNC:1528	CAV2	858
C1332671	HGNC:1539	CBFB	865
C1332672	HGNC:1542	CBLB	868
C1332673	HGNC:1565	ACKR2	1238
C1332675	HGNC:1571	CCKBR	887
C1332676	HGNC:10610	CCL11	6356
C1332677	HGNC:10611	CCL13	6357
C1332678	HGNC:10612	CCL14	6358
C1332679	HGNC:10613	CCL15	6359
C1332680	HGNC:10615	CCL17	6361
C1332681	HGNC:10616	CCL18	6362
C1332682	HGNC:10617	CCL19	6363
C1332683	HGNC:10609	CCL1	6346
C1332684	HGNC:10620	CCL21	6366
C1332685	HGNC:10621	CCL22	6367
C1332686	HGNC:10622	CCL23	6368
C1332687	HGNC:10623	CCL24	6369
C1332688	HGNC:10624	CCL25	6370
C1332689	HGNC:10628	CCL3L1	6349
C1332690	HGNC:10627	CCL3	6348
C1332691	HGNC:10632	CCL5	6352
C1332692	HGNC:10634	CCL7	6354
C1332693	HGNC:10635	CCL8	6355
C1332694	HGNC:1578	CCNA2	890
C1332695	HGNC:1579	CCNB1	891
C1332696	HGNC:1580	CCNB2	9133
C1332697	HGNC:1589	CCNE1	898
C1332698	HGNC:1590	CCNE2	9134
C1332699	HGNC:1602	CCR1	1230
C1332700	HGNC:1606	CCR5	1234
C1332701	HGNC:1607	CCR6	1235
C1332702	HGNC:1609	CCR8	1237
C1332703	HGNC:1610	CCR9	10803
C1332704	HGNC:1611	ACKR4	51554
C1332705	HGNC:1612	CCRL2	9034
C1332707	HGNC:1641	CD209	30835
C1332708	HGNC:1643	CD22	933
C1332709	HGNC:1653	CD28	940
C1332710	HGNC:1662	CD34	947
C1332711	HGNC:1674	CD3E	916
C1332712	HGNC:1681	CD44	960
C1332713	HGNC:1682	CD47	961
C1332714	HGNC:1678	CD4	920
C1332715	HGNC:1688	CD58	965
C1332716	HGNC:1696	CD72	971
C1332718	HGNC:1711	ADGRE5	976
C1332719	HGNC:1725	CDC25A	993
C1332720	HGNC:1729	CDK11B	984
C1332721	HGNC:1722	CDK1	983
C1332722	HGNC:1735	CDC37	11140
C1332724	HGNC:1739	CDC45	8318
C1332725	HGNC:1744	CDC6	990
C1332727	HGNC:1745	CDC7	8317
C1332728	HGNC:1753	CDH13	1012
C1332729	HGNC:1764	CDH5	1003
C1332730	HGNC:1770	CDK10	8558
C1332732	HGNC:14002	CDK2AP1	8099
C1332733	HGNC:1771	CDK2	1017
C1332734	HGNC:1772	CDK3	1018
C1332735	HGNC:1774	CDK5	1020
C1332736	HGNC:1782	CDKL2	8999
C1332737	HGNC:1785	CDKN1B	1027
C1332738	HGNC:1789	CDKN2C	1031
C1332739	HGNC:1791	CDKN3	1033
C1332740	HGNC:17104	CDON	50937
C1332741	HGNC:1798	CDR1	1038
C1332742	HGNC:24576	CDT1	81620
C1332743	HGNC:1806	CDX2	1045
C1332744	HGNC:1817	CEACAM5	1048
C1332745	HGNC:1819	CEACAM7	1087
C1332749	HGNC:24368	HERC5	51191
C1332750	HGNC:1836	CEBPE	1053
C1332751	HGNC:1850	CELSR1	9620
C1332752	HGNC:1857	CENPF	1063
