uberon_id	cui
UBERON:0001389	UMLS:C0242694
UBERON:0001390	UMLS:C0226464
UBERON:0001391	UMLS:C0224457
UBERON:0001392	UMLS:C0224473
UBERON:0001393	UMLS:C0004302
UBERON:0001394	UMLS:C0004455
UBERON:0001395	UMLS:C0226420
UBERON:0001396	UMLS:C0226421
UBERON:0001397	UMLS:C0226422
UBERON:0001398	UMLS:C0006087
UBERON:0001401	UMLS:C0224307
UBERON:0001402	UMLS:C0224308
UBERON:0001403	UMLS:C0224309
UBERON:0001404	UMLS:C0162857
UBERON:0001405	UMLS:C0224311
UBERON:0001406	UMLS:C0162858
UBERON:0001407	UMLS:C0224316
UBERON:0001408	UMLS:C0224317
UBERON:0001409	UMLS:C0224318
UBERON:0001410	UMLS:C0226446
UBERON:0001411	UMLS:C0226801
UBERON:0001413	UMLS:C0226812
UBERON:0001416	UMLS:C0222166
UBERON:0001417	UMLS:C0205030
UBERON:0001419	UMLS:C1282135
UBERON:0001423	UMLS:C0034627
UBERON:0001424	UMLS:C0041600
UBERON:0001427	UMLS:C0223724
UBERON:0001428	UMLS:C0036624
UBERON:0001429	UMLS:C0223729
UBERON:0001430	UMLS:C0223736
UBERON:0001431	UMLS:C0223741
UBERON:0001432	UMLS:C0223733
UBERON:0001433	UMLS:C0560737
UBERON:0001434	UMLS:C0037253
UBERON:0001435	UMLS:C0007285
UBERON:0001436	UMLS:C0223792
UBERON:0001437	UMLS:C0014570
UBERON:0001437	UMLS:C1708734
UBERON:0001438	UMLS:C0222671
UBERON:0001439	UMLS:C0222661
UBERON:0001443	UMLS:C0817096
UBERON:0001443	UMLS:C1527391
UBERON:0001446	UMLS:C0016068
UBERON:0001447	UMLS:C0039316
UBERON:0001448	UMLS:C0025584
UBERON:0001449	UMLS:C0584876
UBERON:0001450	UMLS:C0006655
UBERON:0001451	UMLS:C0223947
UBERON:0001452	UMLS:C1512869
UBERON:0001453	UMLS:C1513292
UBERON:0001454	UMLS:C1517036
UBERON:0001455	UMLS:C0376381
UBERON:0001456	UMLS:C0015450
UBERON:0001457	UMLS:C0222088
UBERON:0001458	UMLS:C0222101
UBERON:0001459	UMLS:C0222110
UBERON:0001460	UMLS:C0446516
UBERON:0001461	UMLS:C0013769
UBERON:0001463	UMLS:C0040067
UBERON:0001464	UMLS:C0019552
UBERON:0001465	UMLS:C0022742
UBERON:0001466	UMLS:C0040357
UBERON:0001467	UMLS:C0037004
UBERON:0001468	UMLS:C1182940
UBERON:0001469	UMLS:C0038291
UBERON:0001470	UMLS:C0037009
UBERON:0001470	UMLS:C0224599
UBERON:0001473	UMLS:C0229889
UBERON:0001474	UMLS:C0262950
UBERON:0001476	UMLS:C0224234
UBERON:0001477	UMLS:C0584882
UBERON:0001478	UMLS:C0224232
UBERON:0001479	UMLS:C0036846
UBERON:0001484	UMLS:C0206207
UBERON:0001485	UMLS:C0022745
UBERON:0001486	UMLS:C0019558
UBERON:0001487	UMLS:C0021774
UBERON:0001487	UMLS:C1135949
UBERON:0001488	UMLS:C0003087
UBERON:0001488	UMLS:C0730182
UBERON:0001490	UMLS:C0013770
UBERON:0001491	UMLS:C1322271
UBERON:0001492	UMLS:C0034518
UBERON:0001493	UMLS:C0228885
UBERON:0001494	UMLS:C0041602
UBERON:0001495	UMLS:C0030747
UBERON:0001496	UMLS:C0003956
UBERON:0001502	UMLS:C0224295
UBERON:0001503	UMLS:C1744530
UBERON:0001505	UMLS:C0224246
UBERON:0001506	UMLS:C0224240
UBERON:0001507	UMLS:C0559499
UBERON:0001509	UMLS:C0559502
UBERON:0001510	UMLS:C0222275
UBERON:0001511	UMLS:C0222279
UBERON:0001512	UMLS:C0222286
UBERON:0001513	UMLS:C0222289
UBERON:0001514	UMLS:C0011666
UBERON:0001515	UMLS:C0003489
UBERON:0001515	UMLS:C0011666
UBERON:0001515	UMLS:C1522460
UBERON:0001516	UMLS:C0003484
UBERON:0001517	UMLS:C0222213
UBERON:0001518	UMLS:C0222223
UBERON:0001519	UMLS:C0222224
UBERON:0001520	UMLS:C0224249
UBERON:0001521	UMLS:C0224252
UBERON:0001522	UMLS:C0224254
UBERON:0001523	UMLS:C0224261
UBERON:0001524	UMLS:C0224266
UBERON:0001525	UMLS:C0224267
UBERON:0001526	UMLS:C0224272
UBERON:0001527	UMLS:C0224278
UBERON:0001529	UMLS:C0006094
UBERON:0001530	UMLS:C0162859
UBERON:0001531	UMLS:C0226086
UBERON:0001532	UMLS:C0007276
UBERON:0001533	UMLS:C0038530
UBERON:0001534	UMLS:C0226261
UBERON:0001535	UMLS:C0042559
UBERON:0001536	UMLS:C0226087
UBERON:0001537	UMLS:C0085816
UBERON:0001538	UMLS:C0086835
UBERON:0001539	UMLS:C0226492
UBERON:0001540	UMLS:C0226476
UBERON:0001541	UMLS:C0226479
UBERON:0001542	UMLS:C0729596
UBERON:0001543	UMLS:C0588057
UBERON:0001544	UMLS:C0032652
UBERON:0001545	UMLS:C0226833
UBERON:0001546	UMLS:C0226832
UBERON:0001547	UMLS:C0226827
UBERON:0001549	UMLS:C0835053
UBERON:0001553	UMLS:C0226495
UBERON:0001555	UMLS:C0017189
UBERON:0001561	UMLS:C0226293
UBERON:0001562	UMLS:C0224155
UBERON:0001563	UMLS:C0224107
UBERON:0001564	UMLS:C0224159
UBERON:0001565	UMLS:C0224160
UBERON:0001566	UMLS:C0224178
UBERON:0001567	UMLS:C0007966
UBERON:0001568	UMLS:C0023054
UBERON:0001568	UMLS:C0224177
UBERON:0001568	UMLS:C0224178
UBERON:0001568	UMLS:C0224181
UBERON:0001568	UMLS:C0224182
UBERON:0001568	UMLS:C0224183
UBERON:0001568	UMLS:C0448336
UBERON:0001568	UMLS:C1510945
UBERON:0001571	UMLS:C0224194
UBERON:0001572	UMLS:C0224196
UBERON:0001573	UMLS:C0224195
UBERON:0001574	UMLS:C1704249
UBERON:0001577	UMLS:C0015460
UBERON:0001577	UMLS:C0086625
UBERON:0001578	UMLS:C0224122
UBERON:0001579	UMLS:C0028938
UBERON:0001579	UMLS:C1268984
UBERON:0001580	UMLS:C1704248
UBERON:0001581	UMLS:C0224119
UBERON:0001582	UMLS:C0224121
UBERON:0001584	UMLS:C0226262
UBERON:0001585	UMLS:C0042459
UBERON:0001586	UMLS:C0226550
UBERON:0001587	UMLS:C0038532
UBERON:0001588	UMLS:C0226560
UBERON:0001589	UMLS:C0226633
UBERON:0001590	UMLS:C0501112
