doid_id	doid_name	entrez_gene_id	gene_symbol	license	sources
DOID:2531	Hematologic cancer	1495	CTNNA1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	1512	CTSH	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	1522	CTSZ	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	1612	DAPK1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	1633	DCK	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1728	NQO1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	1788	DNMT3A		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	1789	DNMT3B	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1791	DNTT	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1847	DUSP5	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1879	EBF1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1902	LPAR1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	1978	EIF4EBP1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2026	ENO2	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2033	EP300	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2052	EPHX1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2056	EPO	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2078	ERG	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2099	ESR1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2120	ETV6	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2122	MECOM		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	2125	EVPL	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2146	EZH2		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	2152	F3	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2246	FGF1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2247	FGF2	ODbL 1.0	DisGeNET
